JOURNAL NAME;AREA
Revista Brasileira De Hematologia E Hemoterapia ; medical
Research in Rural Sociology and Development ; social
Zeitschrift Fur Gastroenterologie ; medical
Journal of Nematology ; bio
Journal of Consumer Policy ; social
Economia Chilena ; social
Acc Current Journal Review ; medical
Womens Health Issues ; health
Human & Experimental Toxicology ; health
Arthritis Research & Therapy ; medical
Journal of Glbt Family Studies ; social
Australian Historical Studies ; social
Perceptual and Motor Skills ; health
Physiological and Molecular Plant Pathology ; biotech
Journal of Mathematical Psychology ; brain
Contemporary Accounting Research ; social
Journal of Mass Spectrometry ; chem
Pratiques Psychologiques ; health
Iet Intelligent Transport Systems ; engineering
Economie Et Statistique ; social
Memoirs of the American Mathematical Society ; mathphysics
International Journal of Research & Method in Education ; social
English Literature in Transition 1880-1920 ; humanities
International Journal of Medical Informatics ; health
Psychoanalytic Social Work ; health
Occupational Therapy in Mental Health ; brain
Journal of Consumer Affairs ; social
Lymphology ; medical
Heteroatom Chemistry ; chem
IEEE Transactions on Electronics Packaging Manufacturing ; eecs
Journal of Industrial and Management Optimization ; mathphysics
Collegium Antropologicum ; bio
Journal of Plant Biology ; bio
Natural Resource Modeling ; social
Comptes Rendus Mecanique ; engineering
Physics and Chemistry of Liquids ; engineering
Investigacion Bibliotecologica ; eecs
Hepatology ; medical
Nature Reviews Neurology ; brain
Acta Phytotaxonomica Sinica ; bio
Diachronica ; humanities
Iranian Journal of Fisheries Sciences ; bio
International Journal of Machine Tools & Manufacture ; engineering
Journal of Indian Philosophy ; social
Journal of Molecular Spectroscopy ; chem
International Journal of Sport Psychology ; health
Journal of Aquatic Food Product Technology ; chem
Journal of Superconductivity ; mathphysics
European Journal of Ageing ; health
Optics Letters ; eecs
Australian Journal of Crop Science ; bio
Accounting Perspectives ; social
Frontiers in Human Neuroscience ; brain
Spe Reservoir Evaluation & Engineering ; engineering
Chemistry of Natural Compounds ; chem
Mondo Ortodontico ; health
European Respiratory Review ; medical
Journal for General Philosophy of Science ; humanities
Persoonia ; bio
Drugs ; medical
Journal of Criminal Justice Education ; social
Journal of The American Society for Surgery of The Hand ; health
Probability Theory and Related Fields ; mathphysics
Iubmb Life ; biotech
Journal of Medical Ultrasound ; medical
Journal of Social Policy ; social
Indian Journal of Biotechnology ; bio
Contact Dermatitis ; medical
Reinforced Plastics ; engineering
Acta Linguistica Hungarica ; humanities
Journal of Nuclear Materials ; mathphysics
Revista Chilena De Cirugia ; medical
Journal of Historical Geography ; social
Journal of The Chinese Medical Association ; medical
Resources for American Literary Study ; humanities
Fems Microbiology Letters ; diseases
International Security ; social
Policy and Society ; social
Musicae Scientiae ; social
Forensische Psychiatrie, Psychologie, Kriminologie ; brain
Autophagy ; diseases
Journal of Equine Veterinary Science ; diseases
Information Management & Computer Security ; eecs
Estonian Journal of Ecology ; bio
Wetlands Ecology and Management ; bio
Theoretical Ecology ; bio
Journal of Optimization Theory and Applications ; mathphysics
The Journal for Nurse Practitioners ; medical
Acta Microbiologica Et Immunologica Hungarica ; bio
Indian Journal of Critical Care Medicine ; medical
The International Journal of Lower Extremity Wounds ; health
Europace ; medical
Veterinarski Arhiv ; diseases
Boletim De Ciencias Geodesicas ; earth
Colloid Journal ; chem
Rivista Di Psichiatria ; brain
International Journal of Science and Mathematics Education ; social
Behavior Analyst ; brain
Protein Expression and Purification ; biotech
Biostatistics ; social
